Date,Open,High,Low,Close,Adj Close,Volume
2024-03-22,171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688,172.27999877929688,71106600
2024-03-25,170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,170.85000610351562,54288300
2024-03-26,170.0,171.4199981689453,169.5800018310547,169.7100067138672,169.7100067138672,57388400
2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,173.30999755859375,60273300
2024-03-28,171.75,172.22999572753906,170.50999450683594,171.47999572753906,171.47999572753906,65672700
2024-04-01,171.19000244140625,171.25,169.47999572753906,170.02999877929688,170.02999877929688,46240500
2024-04-02,169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,168.83999633789062,49329500
2024-04-03,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,169.64999389648438,47691700
2024-04-04,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,168.82000732421875,53704400
2024-04-05,169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,169.5800018310547,42055200
2024-04-08,169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,168.4499969482422,37425500
2024-04-09,168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,169.6699981689453,42451200
2024-04-10,168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,167.77999877929688,49709300
2024-04-11,168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,175.0399932861328,91070300
2024-04-12,174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,176.5500030517578,101593300
2024-04-15,175.36000061035156,176.6300048828125,172.5,172.69000244140625,172.69000244140625,73531800
2024-04-16,171.75,173.75999450683594,168.27000427246094,169.3800048828125,169.3800048828125,73711200
2024-04-17,169.61000061035156,170.64999389648438,168.0,168.0,168.0,50901200
2024-04-18,168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,167.0399932861328,43122900
2024-04-19,166.2100067138672,166.39999389648438,164.0800018310547,165.0,165.0,67772100
2024-04-22,165.75,166.22999572753906,165.22999572753906,165.38999938964844,165.38999938964844,9832777
