                  Open        High         Low       Close   Adj Close     Volume
Date                                                                             
2023-01-03  130.279999  130.899994  124.169998  125.070000  124.216301  112117500
2023-01-04  126.889999  128.660004  125.080002  126.360001  125.497498   89113600
2023-01-05  127.129997  127.769997  124.760002  125.019997  124.166641   80962700
2023-01-06  126.010002  130.289993  124.889999  129.619995  128.735214   87754700
2023-01-09  130.470001  133.410004  129.889999  130.149994  129.261612   70790800
...                ...         ...         ...         ...         ...        ...
2023-03-27  159.940002  160.770004  157.869995  158.279999  157.439621   52390300
2023-03-28  157.970001  158.490005  155.979996  157.649994  156.812973   45992200
2023-03-29  159.369995  161.050003  159.350006  160.770004  159.916412   51305700
2023-03-30  161.529999  162.470001  161.270004  162.360001  161.497986   49501700
2023-03-31  162.440002  165.000000  161.910004  164.899994  164.024460   68749800

[62 rows x 6 columns]
